Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
47,8,14,2990000,"Калининградская область, Калининград, р-н Ленинградский, Елизаветинская улица",19,11,2019,1, совмещенный,1, лоджия,Без ремонта,Кирпичный,,,
38,1,5,2220000,"Калининградская область, Калининград, р-н Ленинградский, улица Аксакова",18.5,7.7,1996,1, совмещенный,,,Евроремонт,Блочный,,,
45,5,12,3800000,"Калининградская область, Калининград, р-н Ленинградский, улица 9 Апреля, 88А",15,13,2019,1, совмещенный,1, лоджия,Без ремонта,,,,
35,8,9,2950000,"Калининградская область, Калининград, р-н Ленинградский, Елизаветинская улица",16,9,,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
44,3,9,3450000,"Калининградская область, Калининград, р-н Ленинградский, улица Согласия",17,11,,1, совмещенный,,,Евроремонт,Кирпичный,,,
30,1,9,2800000,"Калининградская область, Калининград, р-н Ленинградский, улица Маршала Жукова",14,7,2020,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
37,3,9,3500000,"Калининградская область, Калининград, р-н Ленинградский, улица Маршала Жукова",12.7,8.5,2020,1, совмещенный,,,Евроремонт,Кирпичный,,,
37.6,1,9,2300000,"Калининградская область, Калининград, р-н Ленинградский, улица Горького",19,8.8,1982,1, совмещенный,,,Евроремонт,Панельный,,,
35,7,9,2950000,"Калининградская область, Калининград, р-н Ленинградский, Елизаветинская улица",15,,2019,1, совмещенный,,,Евроремонт,Кирпичный,,,
44,7,10,3560000,"Калининградская область, Калининград, р-н Ленинградский, Зеленая улица",17,10,2004,1, совмещенный,,,Евроремонт,Кирпичный,,,
49,7,8,3450000,"Калининградская область, Калининград, р-н Ленинградский, Ясная улица",27.2,12.7,1998,1, совмещенный,,,Евроремонт,Кирпичный,,,
40,2,3,2770000,"Калининградская область, Калининград, р-н Ленинградский, Орудийная улица",20,10,2015,1, совмещенный,1, лоджия,Косметический,Кирпичный,,,
40,1,9,3200000,"Калининградская область, Калининград, р-н Ленинградский, Мирная улица",18,10,2019,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
40,5,7,3400000,"Калининградская область, Калининград, р-н Ленинградский, улица Согласия",18,13,2017,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
43,3,9,3480000,"Калининградская область, Калининград, р-н Ленинградский, улица Виктора Денисова",18,,2017,1, совмещенный,,,Евроремонт,Кирпичный,,,
44.5,8,9,3860000,"Калининградская область, Калининград, р-н Ленинградский, Елизаветинская улица",20,12,2019,1, совмещенный,1, лоджия,Евроремонт,Монолитный,,,
30.4,2,5,2500000,"Калининградская область, Калининград, р-н Ленинградский, улица Островского",18,7,1982,1, совмещенный,,,Евроремонт,Блочный,,,
40,6,9,3200000,"Калининградская область, Калининград, р-н Ленинградский, улица Маршала Жукова",17,11,,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
43.5,2,9,3250000,"Калининградская область, Калининград, р-н Ленинградский, улица Виктора Денисова",17.5,12.4,2017,1, совмещенный,,,Евроремонт,Кирпичный,,,
40,9,10,3380000,"Калининградская область, Калининград, р-н Ленинградский, Мирная улица",18,,2019,1, совмещенный,,,Евроремонт,Кирпичный,,,
47,6,9,4300000,"Калининградская область, Калининград, р-н Ленинградский, улица Маршала Жукова",20,15,2018,1, совмещенный,,,Евроремонт,Кирпичный,,,
39,6,9,3200000,"Калининградская область, Калининград, р-н Ленинградский, Мирная улица",16,10,2019,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
47,6,9,3750000,"Калининградская область, Калининград, р-н Ленинградский, улица Маршала Жукова",19,15,2016,1, совмещенный,1, лоджия,Евроремонт,Монолитно кирпичный,,,
47.7,7,8,3600000,"Калининградская область, Калининград, р-н Ленинградский, улица Согласия",21,14,2017,1, совмещенный,,,Евроремонт,Кирпичный,,,
42,3,9,3350000,"Калининградская область, Калининград, р-н Ленинградский, улица Горького",18,12,2016,1, совмещенный,,,Евроремонт,Монолитно кирпичный,,,
43,8,10,3600000,"Калининградская область, Калининград, р-н Ленинградский, Елизаветинская улица",20,12,2018,1, совмещенный,1, лоджия,Евроремонт,Монолитный,,,
51,3,12,3270000,"Калининградская область, Калининград, р-н Ленинградский, улица Герцена",19.5,,,1, совмещенный,,,Без ремонта,Кирпичный,,,
45.9,8,11,4500000,"Калининградская область, Калининград, р-н Ленинградский, улица Горького",20.2,13.5,2013,1, совмещенный,,,Евроремонт,Кирпичный,,,
40,5,5,3150000,"Калининградская область, Калининград, р-н Ленинградский, Озерная улица",17,9,1994,1, совмещенный,,,Евроремонт,Кирпичный,,,
36,2,8,2760000,"Калининградская область, Калининград, р-н Ленинградский, улица Аксакова",16,,,1, совмещенный,,,Косметический,Блочный,,,
42,3,9,3350000,"Калининградская область, Калининград, р-н Ленинградский, улица Горького",18,12,2015,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
46,8,10,3500000,"Калининградская область, Калининград, р-н Ленинградский, улица Горького",21.5,10,2012,1, совмещенный,1, лоджия,Косметический,Монолитно кирпичный,,,
45.5,12,17,3190000,"Калининградская область, Калининград, р-н Ленинградский, Елизаветинская улица",20,,2016,1, совмещенный,,,Евроремонт,Кирпичный,,,
41,6,9,3570000,"Калининградская область, Калининград, р-н Ленинградский, Артиллерийская улица",25,10,2008,1, совмещенный,,,Евроремонт,Блочный,,,
40,1,3,2750000,"Калининградская область, Калининград, р-н Ленинградский, Орудийная улица",20,11,,1, совмещенный,,,Евроремонт,Кирпичный,,,
