Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
21.1,1,5,1350000,"Калининградская область, Калининград, р-н Центральный, Красная улица, 117А",9,9,1970,1, совмещенный,,,Косметический,,,,
45.7,2,4,3039050,"Калининградская область, Калининград, р-н Центральный, улица Тихоненко",,10.5,,1, совмещенный,1, балкон,Косметический,,,,
36,3,4,2500000,"Калининградская область, Калининград, р-н Центральный, улица Глазунова, 13",,,1983,1, совмещенный,1, балкон,Косметический,Кирпичный,Железобетонные,Центральное,Центральное
48,6,9,3100000,"Калининградская область, Калининград, р-н Центральный, Осенняя улица, 10",17,13,2012,1, раздельный,1, лоджия,Косметический,Панельный,Железобетонные,Автономная котельная,Центральное
40,5,6,1650000,"Калининградская область, Калининград, р-н Центральный, Советский проспект",,,,,,,,Косметический,Кирпичный,,,
27,5,5,1300000,"Калининградская область, Калининград, р-н Центральный, Советский проспект, 202",12,5,1980,1, совмещенный,,,Косметический,,,,
30,1,2,1650000,"Калининградская область, Калининград, р-н Центральный, улица Нахимова, 24",,10,1959,1, раздельный,1, балкон,,Кирпичный,Железобетонные,Центральное,Центральное
17,5,5,950000,"Калининградская область, Калининград, р-н Центральный, Красная улица",,,1970,,,,,Косметический,Блочный,,,
34,3,5,1500000,"Калининградская область, Калининград, р-н Центральный, Балтийское шоссе, 116",17,5,1960,,,,,Косметический,Панельный,Железобетонные,Центральное,Центральное
23.3,4,5,1170000,"Калининградская область, Калининград, р-н Центральный, улица Маршала Борзова, 56",16.5,4,1970,1, совмещенный,,,,,,,
35.4,3,4,1890000,"Калининградская область, Калининград, р-н Центральный, улица Каштановая Аллея",,,1985,1, совмещенный,,,Евроремонт,Кирпичный,,,
35,3,5,2200000,"Калининградская область, Калининград, р-н Центральный, улица Полковника Сафронова",,,1982,1, совмещенный,,,Косметический,Кирпичный,,,
38,3,9,2700000,"Калининградская область, Калининград, р-н Центральный, улица Ломоносова, 4А",,9,2015,1, совмещенный,1, лоджия,Косметический,Панельный,Железобетонные,Котел/Квартирное отопление,Центральное
39.5,3,6,2800000,"Калининградская область, Калининград, р-н Центральный, Старорусская улица, 29",27,9,2019,,,1, балкон,Без ремонта,,,,
40,9,10,2900000,"Калининградская область, Калининград, р-н Центральный, улица Каштановая Аллея",,10,,1, совмещенный,1, балкон,Евроремонт,,,,
43,4,13,3300000,"Калининградская область, Калининград, р-н Центральный, Советский проспект, 50",18,12,2020,1, совмещенный,1, балкон,Без ремонта,,,,
30.2,4,5,2200000,"Калининградская область, Калининград, р-н Центральный, Советский проспект, 79",19,5.4,1960,1, совмещенный,1, балкон,Косметический,,,,
30,4,5,1750000,"Калининградская область, Калининград, р-н Центральный, Красносельская улица",,,1998,1, совмещенный,1, лоджия,Косметический,Кирпичный,,,
38.41,2,8,2649000,"Калининградская область, Калининград, р-н Центральный, Красносельская улица, 57",,11,,1, совмещенный,1, лоджия,,,,,
37,5,5,1650000,"Калининградская область, Калининград, р-н Центральный, Советский проспект",,13.5,1980,1, совмещенный,,,Косметический,,,,
40,2,3,2800000,"Калининградская область, Калининград, р-н Центральный, улица Генерал-лейтенанта Озерова",,,1959,,,,,Дизайнерский,Кирпичный,,,
30,1,5,1450000,"Калининградская область, Калининград, р-н Центральный, Вагоностроительная улица",15,8,1945,1, совмещенный,,,Косметический,Кирпичный,,,
34,3,5,2350000,"Калининградская область, Калининград, р-н Центральный, Зоологическая улица",,,,1, совмещенный,1, балкон,Косметический,,,,
35,5,5,1950000,"Калининградская область, Калининград, р-н Центральный, улица Маршала Борзова",19,,1991,1, раздельный,1, балкон,Косметический,Панельный,,,
43.5,4,7,3200000,"Калининградская область, Калининград, р-н Центральный, Чкаловск мкр, улица Мира, 9Б",19.1,11.4,2011,1, совмещенный,1, балкон,,Кирпичный,Железобетонные,Котел/Квартирное отопление,Центральное
38,1,5,3100000,"Калининградская область, Калининград, р-н Центральный, Чкаловск мкр, улица Докука, 11",17,10,2009,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,Железобетонные,Котел/Квартирное отопление,Центральное
40,1,3,1780000,"Калининградская область, Калининград, р-н Центральный, улица Каблукова, 26",20,14,2019,1, совмещенный,,,Без ремонта,,,,
34.3,2,5,2150000,"Калининградская область, Калининград, р-н Центральный, улица Полковника Сафронова, 3",18.9,7.9,1987,,,,,,Кирпичный,Железобетонные,Центральное,Центральное
30,3,5,2420000,"Калининградская область, Калининград, р-н Центральный, улица Кирова, 61",16,7,1978,,,,,,,,,
30,2,5,2550000,"Калининградская область, Калининград, р-н Центральный, Нарвская улица, 29",,6,,1, совмещенный,1, балкон,Евроремонт,,,,
43.9,7,9,3300000,"Калининградская область, Калининград, р-н Центральный, Чкаловск мкр, улица Лукашова, 24",23,10,2014,,,,,Евроремонт,,,,
40,3,6,3070000,"Калининградская область, Калининград, р-н Центральный, улица Тенистая Аллея, 36",17,10,2011,1, совмещенный,1, балкон,Косметический,,Железобетонные,Котел/Квартирное отопление,Центральное
41,6,8,3300000,"Калининградская область, Калининград, р-н Центральный, Чкаловск мкр, улица Лукашова, 22",22.1,9.4,2015,1, совмещенный,1," балкон, ",Евроремонт,Кирпичный,Железобетонные,Котел/Квартирное отопление,Центральное
31,1,5,1650000,"Калининградская область, Калининград, р-н Центральный, Красная улица",,,1973,1, совмещенный,,,Косметический,,,,
28,1,3,1600000,"Калининградская область, Калининград, р-н Центральный, Косогорная улица, 7",12.2,10.8,,1, раздельный,,,Косметический,,,,
38.41,2,8,2649000,"Калининградская область, Калининград, р-н Центральный, Красносельская улица, 57",14.9,10.4,2018,1, совмещенный,1, лоджия,Без ремонта,Кирпичный,,,
38,3,4,1900000,"Калининградская область, Калининград, р-н Центральный, Вагоностроительная улица, 33",20,8,1945,1, совмещенный,,,Косметический,,,,
35.9,3,5,2150000,"Калининградская область, Калининград, р-н Центральный, проспект Победы, 94",15,6.9,1988,1, раздельный,1, лоджия,Косметический,Блочный,Железобетонные,Центральное,Центральное
46.3,1,4,3379900,"Калининградская область, Калининград, р-н Центральный, улица Тихоненко, 17А",19.6,10.5,2018,1, совмещенный,1, балкон,Без ремонта,,,,
45.5,1,44,3321499,"Калининградская область, Калининград, р-н Центральный, улица Тихоненко, 17А",19.6,10.5,2018,1, совмещенный,1, балкон,Без ремонта,,,,
45,7,8,2550000,"Калининградская область, Калининград, р-н Центральный, Чкаловск мкр, улица Лукашова",,,2014,1, совмещенный,1, балкон,Евроремонт,Кирпичный,,,
34,2,5,1800000,"Калининградская область, Калининград, р-н Центральный, Лужская улица",18,,,1, совмещенный,1, балкон,Косметический,,,,
42,3,4,2650000,"Калининградская область, Калининград, р-н Центральный, улица Сержанта Мишина, 22В",18,11,2015,1, совмещенный,1, лоджия,Без ремонта,Кирпичный,Смешанные,Автономная котельная,Центральное
24,3,4,1300000,"Калининградская область, Калининград, р-н Центральный, Вагоностроительная улица",,9,,,,,,Косметический,,,,
40.1,3,4,1750000,"Калининградская область, Калининград, р-н Центральный, Вагоностроительная улица",22.9,10.5,1963,1, совмещенный,,,Косметический,,,,
30,1,5,1500000,"Калининградская область, Калининград, р-н Центральный, Вагоностроительная улица, 37",15.1,8.7,1945,1, совмещенный,,,Косметический,,,,
40,4,6,3050000,"Калининградская область, Калининград, р-н Центральный, Чкаловск мкр, улица Лукашова, 11А",18,9.5,2011,,,,,Косметический,Кирпичный,Железобетонные,Котел/Квартирное отопление,Центральное
36,3,5,2400000,"Калининградская область, Калининград, р-н Центральный, улица Памяти Павших в Афганистане",,,,1, совмещенный,1, балкон,Евроремонт,Кирпичный,,,
31,5,5,2000000,"Калининградская область, Калининград, р-н Центральный, улица Каштановая Аллея",,,,1, совмещенный,1, лоджия,Евроремонт,,,,
40,3,10,3400000,"Калининградская область, Калининград, р-н Центральный, улица Каштановая Аллея",,11,,1, совмещенный,1, лоджия,Дизайнерский,Кирпичный,,,
24,4,5,1350000,"Калининградская область, Калининград, р-н Центральный, улица Маршала Борзова, 52",20,,1976,,,,,Евроремонт,Блочный,Железобетонные,Центральное,
36.1,5,5,1650000,"Калининградская область, Калининград, р-н Центральный, Советский проспект, 202",17.6,13.2,1980,,,,,Косметический,,,,
45.3,2,3,3450000,"Калининградская область, Калининград, р-н Центральный, улица Тихоненко, 23",20,11,2014,1, совмещенный,,,Косметический,,,,
32,3,3,1400000,"Калининградская область, Калининград, р-н Центральный, Аральская улица",,6,,,,1, балкон,Косметический,,,,
19.3,5,5,1450000,"Калининградская область, Калининград, р-н Центральный, Красная улица, 116",13.2,4,1945,1, совмещенный,,,Косметический,,,,Автономное
32.6,1,3,1600000,"Калининградская область, Калининград, р-н Центральный, проспект Победы, 189",16.3,8.8,,,,,,,,,,
25,5,5,1500000,"Калининградская область, Калининград, р-н Центральный, Бассейная улица, 49",14,5,1982,1, совмещенный,1, балкон,Косметический,Блочный,Железобетонные,Центральное,Центральное
33,3,5,2000000,"Калининградская область, Калининград, р-н Центральный, улица Космонавта Леонова",,,,,,,,Косметический,,,,
43,5,8,3120000,"Калининградская область, Калининград, р-н Центральный, Бассейная улица",,,2012,1, совмещенный,1, лоджия,Косметический,,,,
38,1,3,2950000,"Калининградская область, Калининград, р-н Центральный, улица Дмитрия Донского, 50",19,10,1998,1, совмещенный,,,Косметический,Кирпичный,Железобетонные,Котел/Квартирное отопление,Центральное
18.6,5,5,1250000,"Калининградская область, Калининград, р-н Центральный, Красная улица, 127",13.4,3.5,1972,1, совмещенный,,,Косметический,Блочный,Железобетонные,Центральное,
38,4,5,1950000,"Калининградская область, Калининград, р-н Центральный, Чкаловск мкр, улица Беланова",,,1991,1, раздельный,1, лоджия,Евроремонт,Панельный,,,
30,1,4,2200000,"Калининградская область, Калининград, р-н Центральный, улица Репина",,,1963,1, совмещенный,,,Косметический,Блочный,,,
38,2,5,2300000,"Калининградская область, Калининград, р-н Центральный, Красная улица",,,,,,,,Косметический,,,,
