Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
32,9,9,1600000,"Калининградская область, Калининград, р-н Московский, Инженерная улица",,,1983,,,1, лоджия,Косметический,Блочный,,,
30,8,8,2150000,"Калининградская область, Калининград, р-н Московский, улица Генерала Толстикова, 17",15.2,7.4,2019,1, совмещенный,1, балкон,Косметический,,,,
30,6,9,1650000,"Калининградская область, Калининград, р-н Московский, улица Олега Кошевого",,,1985,1, совмещенный,1, лоджия,Евроремонт,Панельный,,,
32.1,1,3,1170000,"Калининградская область, Калининград, р-н Московский, улица Александра Суворова",19.1,10,,1, совмещенный,,,Косметический,Кирпичный,,,
30,1,5,1900000,"Калининградская область, Калининград, р-н Московский, Летняя улица, 66",,,2018,1, совмещенный,1, балкон,Евроремонт,,,,
32.8,4,9,1600000,"Калининградская область, Калининград, р-н Московский, улица Ульяны Громовой",18.5,5,2008,1, совмещенный,,,Косметический,Кирпичный,,,
43,4,5,2250000,"Калининградская область, Калининград, р-н Московский, улица Багратиона, 88",30,7,1966,1, совмещенный,1, лоджия,Косметический,,,,
32,1,9,2000000,"Калининградская область, Калининград, р-н Московский, улица Николая Карамзина",,,,1, совмещенный,1, лоджия,Евроремонт,,,,
39.5,6,8,2200000,"Калининградская область, Калининград, р-н Московский, Минусинская улица",,,2012,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
14,1,5,1050000,"Калининградская область, Калининград, р-н Московский, Серпуховская улица",,,1971,,,,,Косметический,Блочный,,,
32,4,9,1400000,"Калининградская область, Калининград, р-н Московский, Батальная улица",,,,,,,,Косметический,,,,
37,9,10,1650000,"Калининградская область, Калининград, р-н Московский, Батальная улица",,,1980,1, совмещенный,1, балкон,Косметический,Панельный,,,
41,8,9,2300000,"Калининградская область, Калининград, р-н Московский, улица Генерала Толстикова",,,2008,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,,,
